run,ok,x0,y0,z0,vx0,vy0,vz0,xf,yf,zf,vxf,vyf,vzf,phi_f_deg,theta_f_deg,psi_f_deg,dist_xy,succ_pos,succ_vel,succ_eul,success,prop_main,prop_rcs
1,1,282185.362854371,0,13968.0559213273,-1672.6515081728,0,0,-5.48508548791357,-2.80842488793782,0.499356632109333,-0.0417075160569798,-0.0379252275964467,-0.100069082594814,-0.0011882838630651,-0.320041472558377,0.0312231980308676,6.16225714822975,1,1,1,1,6485.49574091741,47.0525702635829
2,1,263865.810242708,0,13561.7534828874,-1672.6515081728,0,0,-3.14946266234775,-3.76051983767459,0.499691452018273,-0.0599369184093529,-0.041476208007067,-0.100207180521532,0.000331569162565563,-0.356957140695222,-0.0412598448397139,4.9051630463285,1,1,1,1,6646.56310538398,51.0601427115226
3,1,308693.174085558,0,14412.7267288786,-1672.6515081728,0,0,-4.90185989751265,-3.73960286138513,0.499023645136078,-0.0696516634262841,-0.0383420104898654,-0.100125920512425,-0.00116534265889605,-0.314143637728255,0.0298086934841017,6.16545699974645,1,1,1,1,6561.26545723318,51.2509101499964
4,1,285508.511722419,0,14376.4339456057,-1672.6515081728,0,0,-5.79630156993436,-2.82191654119133,0.499305365194359,-0.0564289479241148,-0.0379699831962285,-0.100081163018057,-0.000465084816491694,-0.39614807692856,0.0317324010014408,6.4467297799018,1,1,1,1,6493.65998461572,47.0700451434431
5,1,286905.097246105,0,15277.2437065861,-1672.6515081728,0,0,-5.43049132134447,-2.83710705153511,0.499420184413395,-0.0523667674530883,-0.0377521992074715,-0.10007873448894,0.00218746890891226,-0.328667397264735,-0.0331621630224682,6.12694152192331,1,1,1,1,6507.05347823402,46.3812436289535
6,1,295673.922501142,0,16396.8960992237,-1672.6515081728,0,0,-5.68679031478067,-2.82281366063961,0.499932333066073,-0.0689538892522729,-0.0377792977985737,-0.10007143183716,-0.00178823505120965,-0.290959898956289,-0.0606382267151799,6.34884722189602,1,1,1,1,6526.33389214005,47.0482015436179
7,1,278137.351785687,0,13866.1147045343,-1672.6515081728,0,0,-5.5476008960566,-2.81211119174409,0.49941467875282,-0.0676859405051439,-0.0379183834234132,-0.100064339821812,0.000725571249193946,-0.312345296378933,-0.032955838813365,6.21963383622061,1,1,1,1,6482.5871790507,45.9836901121339
8,1,262494.109999479,0,14435.1332282682,-1672.6515081728,0,0,-4.74917158760112,-2.76949338941026,0.499898338352045,-0.0490568056958107,-0.0421097988489839,-0.100237195813909,0.0007980378516306,-0.330807313281398,0.0696372460348378,5.49770173822342,1,1,1,1,6643.83072347198,49.4000291248033
9,1,292152.231118392,0,16318.4968246926,-1672.6515081728,0,0,-5.33601469253982,-2.82713109557428,0.499687424171399,-0.0665049203311835,-0.0377694632398048,-0.100063479664417,-0.000939370625779882,-0.306279537142577,-0.0380121781925604,6.03868553830748,1,1,1,1,6523.73166459525,46.5851172273225
10,1,295115.584289469,0,13635.6818667316,-1672.6515081728,0,0,-5.03738099134874,-2.74515728564957,0.499458542449967,-0.0406411306522642,-0.0375972484749854,-0.100075287391739,-0.00156780952527159,-0.287940617800348,0.0553990210229861,5.73681930820176,1,1,1,1,6486.94134900212,49.4160477646752
11,1,283003.758556643,0,14342.8035290621,-1672.6515081728,0,0,-4.6353267292686,-2.8333014387461,0.499889713368357,-0.0423365958995185,-0.0379418515218478,-0.100073011884207,-0.00129481029680862,-0.303684080755249,-0.0294510053959198,5.4326651774127,1,1,1,1,6491.76894163532,46.6797728265653
12,1,268661.423329061,0,15816.73430789,-1672.6515081728,0,0,-4.57841836391825,-2.85149601163957,0.49917505607927,-0.0413222135617595,-0.0380460542120953,-0.100103004050184,-0.000886984653381344,-0.306686394424862,-0.0471996828824072,5.3937875578725,1,1,1,1,6555.48923095041,47.4224552206237
13,1,260823.044322292,0,15813.8110400578,-1672.6515081728,0,0,-4.29084782583065,-3.41488077573127,0.499909707273496,-0.0508837236687108,-0.0433835815070092,-0.100031389846935,0.00116067897041078,-0.282350816491759,0.0115741531327568,5.48386595176201,1,1,1,1,6962.0637518227,50.9800495121633
14,1,281254.822218794,0,14492.6940745579,-1672.6515081728,0,0,-4.86273747975959,-2.83572132331832,0.499369056618475,-0.0632002298739049,-0.0378896060221605,-0.10004293929201,-0.00092796999164951,-0.242573357441711,-0.0337067988310111,5.62916789770751,1,1,1,1,6493.48219086066,46.6550167467633
15,1,278506.024986889,0,16161.638227729,-1672.6515081728,0,0,-5.31356268208528,-2.84748080146272,0.499889216298978,-0.067355019684945,-0.0377995404571027,-0.100045553722941,-0.000478639703448451,-0.2782049431041,0.0323713214736578,6.02844053559029,1,1,1,1,6524.82630233722,46.2181447502583
